,Calcium,Magnesium,Zinc,Iron,Potassium,Vitamin D,Vitamin B12,Folate (B9),Vitamin B6,Vitamin C,Vitamin A,Vitamin K,Chromium,Selenium,Phosphorus,Sodium
famotidine,ESTABLISHED,PROBABLE,PROBABLE,ESTABLISHED,,,ESTABLISHED,PROBABLE,,ESTABLISHED,,,THEORETICAL,,THEORETICAL,
cimetidine,ESTABLISHED,PROBABLE,PROBABLE,ESTABLISHED,,PROBABLE,ESTABLISHED,PROBABLE,,ESTABLISHED,,,THEORETICAL,,THEORETICAL,
ranitidine,ESTABLISHED,PROBABLE,PROBABLE,ESTABLISHED,,,ESTABLISHED,PROBABLE,,ESTABLISHED,,,THEORETICAL,,THEORETICAL,
fluticasone,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
mometasone,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
budesonide,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
triamcinolone,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
prednisone,ESTABLISHED,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,ESTABLISHED,,THEORETICAL,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,PROBABLE,THEORETICAL,PROBABLE,ESTABLISHED
prednisolone,ESTABLISHED,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,ESTABLISHED,,THEORETICAL,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,PROBABLE,THEORETICAL,PROBABLE,ESTABLISHED
methylprednisolone,ESTABLISHED,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,ESTABLISHED,,THEORETICAL,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,PROBABLE,THEORETICAL,PROBABLE,ESTABLISHED
dexamethasone,ESTABLISHED,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,ESTABLISHED,,THEORETICAL,PROBABLE,PROBABLE,THEORETICAL,ESTABLISHED,PROBABLE,THEORETICAL,PROBABLE,ESTABLISHED
montelukast,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,PROBABLE,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED
zafirlukast,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,PROBABLE,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED
cromoglicic acid,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
nedocromil,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
ketotifen,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
omalizumab,ESTABLISHED,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
dupilumab,ESTABLISHED,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
mepolizumab,ESTABLISHED,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
benralizumab,ESTABLISHED,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
pseudoephedrine,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
oxymetazoline,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
