,Calcium,Magnesium,Zinc,Iron,Potassium,Vitamin D,Vitamin B12,Folate (B9),Vitamin B6,Vitamin C,Vitamin A,Vitamin K,Chromium,Selenium,Phosphorus,Sodium
zafirlukast,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN
cromoglicic acid,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
nedocromil,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
ketotifen,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
omalizumab,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,POTENTIALLY_BENEFICIAL,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
dupilumab,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,POTENTIALLY_BENEFICIAL,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
mepolizumab,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,POTENTIALLY_BENEFICIAL,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
benralizumab,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,POTENTIALLY_BENEFICIAL,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
pseudoephedrine,REDISTRIBUTES,DEPLETES,NO_KNOWN,NO_KNOWN,DEPLETES,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
oxymetazoline,REDISTRIBUTES,DEPLETES,NO_KNOWN,NO_KNOWN,DEPLETES,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
